tc0001§0000.txt	tc0001§0001.txt
tc0040§0006.txt	tc0040§0007.txt
tc0040§0007.txt	tc0040§0008.txt
tc0041§0000.txt	tc0041§0001.txt
tc0041§0001.txt	tc0041§0002.txt
tc0041§0002.txt	tc0041§0003.txt
tc0041§0003.txt	tc0041§0004.txt
tc0041§0004.txt	tc0041§0005.txt
tc0041§0005.txt	tc0041§0006.txt
tc0041§0006.txt	tc0041§0007.txt
tc0041§0007.txt	tc0041§0008.txt
tc0041§0008.txt	tc0041§0009.txt
tc0041§0009.txt	tc0041§0010.txt
tc0041§0010.txt	tc0041§0011.txt
tc0041§0011.txt	tc0041§0012.txt
tc0041§0012.txt	tc0041§0013.txt
tc0041§0013.txt	tc0041§0014.txt
tc0041§0014.txt	tc0041§0015.txt
tc0053§0000.txt	tc0053§0001.txt
tc0053§0001.txt	tc0053§0002.txt
tc0053§0002.txt	tc0053§0003.txt
tc0053§0003.txt	tc0053§0004.txt
tc0053§0004.txt	tc0053§0005.txt
tc0053§0005.txt	tc0053§0006.txt
tc0053§0006.txt	tc0053§0007.txt
tc0053§0007.txt	tc0053§0008.txt
tc0053§0008.txt	tc0053§0009.txt
tc0053§0009.txt	tc0053§0010.txt
tc0053§0010.txt	tc0053§0011.txt
tc0053§0011.txt	tc0053§0012.txt
tc0053§0012.txt	tc0053§0013.txt
tc0053§0013.txt	tc0053§0014.txt
tc0053§0014.txt	tc0053§0015.txt
tc0053§0015.txt	tc0053§0016.txt
tc0054§0000.txt	tc0054§0001.txt
tc0054§0001.txt	tc0054§0002.txt
tc0054§0002.txt	tc0054§0003.txt
tc0054§0003.txt	tc0054§0004.txt
tc0054§0004.txt	tc0054§0005.txt
tc0054§0005.txt	tc0054§0006.txt
tc0054§0006.txt	tc0054§0007.txt
tc0054§0007.txt	tc0054§0008.txt
tc0054§0008.txt	tc0054§0009.txt
tc0054§0009.txt	tc0054§0010.txt
tc0054§0010.txt	tc0054§0011.txt
tc0054§0011.txt	tc0054§0012.txt
tc0054§0012.txt	tc0054§0013.txt
tc0054§0013.txt	tc0054§0014.txt
tc0054§0014.txt	tc0054§0015.txt
tc0056§0000.txt	tc0056§0001.txt
tc0056§0001.txt	tc0056§0002.txt
tc0056§0002.txt	tc0056§0003.txt
tc0056§0003.txt	tc0056§0004.txt
tc0056§0004.txt	tc0056§0005.txt
tc0056§0005.txt	tc0056§0006.txt
tc0056§0006.txt	tc0056§0007.txt
tc0056§0007.txt	tc0056§0008.txt
tc0056§0008.txt	tc0056§0009.txt
tc0056§0009.txt	tc0056§0010.txt
tc0056§0010.txt	tc0056§0011.txt
tc0056§0011.txt	tc0056§0012.txt
tc0056§0012.txt	tc0056§0013.txt
tc0057§0000.txt	tc0057§0001.txt
tc0057§0001.txt	tc0057§0002.txt
tc0057§0002.txt	tc0057§0003.txt
tc0057§0003.txt	tc0057§0004.txt
tc0057§0004.txt	tc0057§0005.txt
tc0057§0005.txt	tc0057§0006.txt
tc0057§0006.txt	tc0057§0007.txt
tc0057§0007.txt	tc0057§0008.txt
tc0057§0008.txt	tc0057§0009.txt
tc0057§0009.txt	tc0057§0010.txt
tc0057§0010.txt	tc0057§0011.txt
tc0057§0011.txt	tc0057§0012.txt
tc0059§0000.txt	tc0059§0001.txt
tc0059§0001.txt	tc0059§0002.txt
tc0059§0002.txt	tc0059§0003.txt
tc0059§0003.txt	tc0059§0004.txt
tc0059§0004.txt	tc0059§0005.txt
tc0059§0005.txt	tc0059§0006.txt
tc0059§0006.txt	tc0059§0007.txt
tc0059§0007.txt	tc0059§0008.txt
tc0059§0008.txt	tc0059§0009.txt
tc0059§0009.txt	tc0059§0010.txt
tc0059§0010.txt	tc0059§0011.txt
tc0064§0000.txt	tc0064§0001.txt
tc0064§0001.txt	tc0064§0002.txt
tc0064§0002.txt	tc0064§0003.txt
tc0064§0003.txt	tc0064§0004.txt
tc0064§0004.txt	tc0064§0005.txt
tc0064§0005.txt	tc0064§0006.txt
tc0064§0006.txt	tc0064§0007.txt
tc0064§0007.txt	tc0064§0008.txt
tc0064§0008.txt	tc0064§0009.txt
tc0064§0009.txt	tc0064§0010.txt
tc0064§0010.txt	tc0064§0011.txt
tc0064§0011.txt	tc0064§0012.txt
tc0064§0012.txt	tc0064§0013.txt
tc0068§0000.txt	tc0068§0001.txt
tc0068§0001.txt	tc0068§0002.txt
tc0068§0002.txt	tc0068§0003.txt
tc0068§0003.txt	tc0068§0004.txt
tc0068§0004.txt	tc0068§0005.txt
tc0068§0005.txt	tc0068§0006.txt
tc0068§0006.txt	tc0068§0007.txt
tc0068§0007.txt	tc0068§0008.txt
tc0068§0008.txt	tc0068§0009.txt
tc0068§0009.txt	tc0068§0010.txt
tc0068§0010.txt	tc0068§0011.txt
tc0068§0011.txt	tc0068§0012.txt
tc0068§0012.txt	tc0068§0013.txt
tc0068§0013.txt	tc0068§0014.txt
tc0068§0014.txt	tc0068§0015.txt
tc0068§0015.txt	tc0068§0016.txt
tc0068§0016.txt	tc0068§0017.txt
tc0068§0017.txt	tc0068§0018.txt
tc0070§0000.txt	tc0070§0001.txt
tc0070§0001.txt	tc0070§0002.txt
tc0070§0002.txt	tc0070§0003.txt
tc0070§0003.txt	tc0070§0004.txt
tc0070§0004.txt	tc0070§0005.txt
tc0070§0005.txt	tc0070§0006.txt
tc0070§0006.txt	tc0070§0007.txt
tc0070§0007.txt	tc0070§0008.txt
tc0070§0008.txt	tc0070§0009.txt
tc0070§0009.txt	tc0070§0010.txt
tc0070§0010.txt	tc0070§0011.txt
tc0070§0011.txt	tc0070§0012.txt
tc0070§0012.txt	tc0070§0013.txt
tc0070§0013.txt	tc0070§0014.txt
tc0070§0014.txt	tc0070§0015.txt
tc0072§0000.txt	tc0072§0001.txt
tc0072§0001.txt	tc0072§0002.txt
tc0072§0002.txt	tc0072§0003.txt
tc0072§0003.txt	tc0072§0004.txt
tc0072§0004.txt	tc0072§0005.txt
tc0072§0005.txt	tc0072§0006.txt
tc0074§0000.txt	tc0074§0001.txt
tc0074§0001.txt	tc0074§0002.txt
tc0074§0002.txt	tc0074§0003.txt
tc0074§0003.txt	tc0074§0004.txt
tc0074§0004.txt	tc0074§0005.txt
tc0074§0005.txt	tc0074§0006.txt
tc0074§0006.txt	tc0074§0007.txt
tc0074§0007.txt	tc0074§0008.txt
tc0074§0008.txt	tc0074§0009.txt
tc0074§0009.txt	tc0074§0010.txt
tc0074§0010.txt	tc0074§0011.txt
tc0074§0011.txt	tc0074§0012.txt
tc0074§0012.txt	tc0074§0013.txt
tc0074§0013.txt	tc0074§0014.txt
tc0074§0014.txt	tc0074§0015.txt
tc0075§0000.txt	tc0075§0001.txt
tc0075§0001.txt	tc0075§0002.txt
tc0075§0002.txt	tc0075§0003.txt
tc0075§0003.txt	tc0075§0004.txt
tc0075§0004.txt	tc0075§0005.txt
tc0075§0005.txt	tc0075§0006.txt
tc0075§0006.txt	tc0075§0007.txt
tc0075§0007.txt	tc0075§0008.txt
tc0075§0008.txt	tc0075§0009.txt
tc0075§0009.txt	tc0075§0010.txt
tc0075§0010.txt	tc0075§0011.txt
tc0075§0011.txt	tc0075§0012.txt
tc0075§0012.txt	tc0075§0013.txt
tc0075§0013.txt	tc0075§0014.txt
tc0075§0014.txt	tc0075§0015.txt
tc0076§0000.txt	tc0076§0001.txt
tc0076§0001.txt	tc0076§0002.txt
tc0076§0002.txt	tc0076§0003.txt
tc0076§0003.txt	tc0076§0004.txt
tc0080§0000.txt	tc0080§0001.txt
tc0080§0001.txt	tc0080§0002.txt
tc0080§0002.txt	tc0080§0003.txt
tc0080§0003.txt	tc0080§0004.txt
tc0080§0004.txt	tc0080§0005.txt
tc0080§0005.txt	tc0080§0006.txt
tc0080§0006.txt	tc0080§0007.txt
tc0080§0007.txt	tc0080§0008.txt
tc0080§0008.txt	tc0080§0009.txt
tc0080§0009.txt	tc0080§0010.txt
tc0080§0010.txt	tc0080§0011.txt
tc0080§0011.txt	tc0080§0012.txt
tc0080§0012.txt	tc0080§0013.txt
tc0080§0013.txt	tc0080§0014.txt
tc0080§0014.txt	tc0080§0015.txt
tc0080§0015.txt	tc0080§0016.txt
tc0080§0016.txt	tc0080§0017.txt
tc0085§0000.txt	tc0085§0001.txt
tc0085§0001.txt	tc0085§0002.txt
tc0085§0002.txt	tc0085§0003.txt
tc0085§0003.txt	tc0085§0004.txt
tc0085§0004.txt	tc0085§0005.txt
tc0085§0005.txt	tc0085§0006.txt
tc0085§0006.txt	tc0085§0007.txt
tc0085§0007.txt	tc0085§0008.txt
tc0085§0008.txt	tc0085§0009.txt
tc0085§0009.txt	tc0085§0010.txt
tc0085§0010.txt	tc0085§0011.txt
tc0085§0011.txt	tc0085§0012.txt
tc0085§0012.txt	tc0085§0013.txt
tc0085§0013.txt	tc0085§0014.txt
tc0086§0000.txt	tc0086§0001.txt
tc0086§0001.txt	tc0086§0002.txt
tc0086§0002.txt	tc0086§0003.txt
tc0086§0003.txt	tc0086§0004.txt
tc0086§0004.txt	tc0086§0005.txt
tc0086§0005.txt	tc0086§0006.txt
tc0086§0006.txt	tc0086§0007.txt
tc0086§0007.txt	tc0086§0008.txt
tc0086§0008.txt	tc0086§0009.txt
tc0091§0000.txt	tc0091§0001.txt
tc0091§0001.txt	tc0091§0002.txt
tc0091§0002.txt	tc0091§0003.txt
tc0091§0003.txt	tc0091§0004.txt
tc0091§0004.txt	tc0091§0005.txt
tc0091§0005.txt	tc0091§0006.txt
tc0091§0006.txt	tc0091§0007.txt
tc0091§0007.txt	tc0091§0008.txt
tc0091§0008.txt	tc0091§0009.txt
tc0091§0009.txt	tc0091§0010.txt
tc0091§0010.txt	tc0091§0011.txt
tc0091§0011.txt	tc0091§0012.txt
tc0091§0012.txt	tc0091§0013.txt
tc0091§0013.txt	tc0091§0014.txt
tc0091§0014.txt	tc0091§0015.txt
tc0094§0000.txt	tc0094§0001.txt
tc0094§0001.txt	tc0094§0002.txt
tc0094§0002.txt	tc0094§0003.txt
tc0094§0003.txt	tc0094§0004.txt
tc0094§0004.txt	tc0094§0005.txt
tc0094§0005.txt	tc0094§0006.txt
tc0094§0006.txt	tc0094§0007.txt
tc0094§0007.txt	tc0094§0008.txt
tc0094§0008.txt	tc0094§0009.txt
tc0094§0009.txt	tc0094§0010.txt
tc0094§0010.txt	tc0094§0011.txt
tc0094§0011.txt	tc0094§0012.txt
tc0094§0012.txt	tc0094§0013.txt
tc0094§0013.txt	tc0094§0014.txt
tc0094§0014.txt	tc0094§0015.txt
tc0094§0015.txt	tc0094§0016.txt
tc0096§0000.txt	tc0096§0001.txt
tc0096§0001.txt	tc0096§0002.txt
tc0096§0002.txt	tc0096§0003.txt
tc0096§0003.txt	tc0096§0004.txt
tc0096§0004.txt	tc0096§0005.txt
tc0096§0005.txt	tc0096§0006.txt
tc0096§0006.txt	tc0096§0007.txt
tc0096§0007.txt	tc0096§0008.txt
tc0096§0008.txt	tc0096§0009.txt
tc0096§0009.txt	tc0096§0010.txt
tc0096§0010.txt	tc0096§0011.txt
tc0096§0011.txt	tc0096§0012.txt
tc0096§0012.txt	tc0096§0013.txt
tc0096§0013.txt	tc0096§0014.txt
tc0098§0000.txt	tc0098§0001.txt
tc0098§0001.txt	tc0098§0002.txt
tc0098§0002.txt	tc0098§0003.txt
tc0098§0003.txt	tc0098§0004.txt
tc0098§0004.txt	tc0098§0005.txt
tc0098§0005.txt	tc0098§0006.txt
tc0098§0006.txt	tc0098§0007.txt
tc0098§0007.txt	tc0098§0008.txt
tc0102§0000.txt	tc0102§0001.txt
tc0102§0001.txt	tc0102§0002.txt
tc0102§0002.txt	tc0102§0003.txt
tc0102§0003.txt	tc0102§0004.txt
tc0102§0004.txt	tc0102§0005.txt
tc0102§0005.txt	tc0102§0006.txt
tc0102§0006.txt	tc0102§0007.txt
tc0102§0007.txt	tc0102§0008.txt
tc0102§0008.txt	tc0102§0009.txt
tc0102§0009.txt	tc0102§0010.txt
tc0102§0010.txt	tc0102§0011.txt
tc0102§0011.txt	tc0102§0012.txt
tc0102§0012.txt	tc0102§0013.txt
tc0102§0013.txt	tc0102§0014.txt
tc0102§0014.txt	tc0102§0015.txt
tc0102§0015.txt	tc0102§0016.txt
tc0102§0016.txt	tc0102§0017.txt
tc0102§0017.txt	tc0102§0018.txt
tc0102§0018.txt	tc0102§0019.txt
tc0103§0000.txt	tc0103§0001.txt
tc0103§0001.txt	tc0103§0002.txt
tc0103§0002.txt	tc0103§0003.txt
tc0103§0003.txt	tc0103§0004.txt
tc0103§0004.txt	tc0103§0005.txt
tc0103§0005.txt	tc0103§0006.txt
tc0103§0006.txt	tc0103§0007.txt
tc0103§0007.txt	tc0103§0008.txt
tc0103§0008.txt	tc0103§0009.txt
tc0103§0009.txt	tc0103§0010.txt
tc0103§0010.txt	tc0103§0011.txt
tc0103§0011.txt	tc0103§0012.txt
tc0103§0012.txt	tc0103§0013.txt
tc0103§0013.txt	tc0103§0014.txt
tc0105§0000.txt	tc0105§0001.txt
tc0105§0001.txt	tc0105§0002.txt
tc0105§0002.txt	tc0105§0003.txt
tc0105§0003.txt	tc0105§0004.txt
tc0105§0004.txt	tc0105§0005.txt
tc0105§0005.txt	tc0105§0006.txt
tc0105§0006.txt	tc0105§0007.txt
tc0105§0007.txt	tc0105§0008.txt
tc0105§0008.txt	tc0105§0009.txt
tc0105§0009.txt	tc0105§0010.txt
tc0105§0010.txt	tc0105§0011.txt
tc0106§0000.txt	tc0106§0001.txt
tc0106§0001.txt	tc0106§0002.txt
tc0106§0002.txt	tc0106§0003.txt
tc0106§0003.txt	tc0106§0004.txt
tc0106§0004.txt	tc0106§0005.txt
tc0106§0005.txt	tc0106§0006.txt
tc0106§0006.txt	tc0106§0007.txt
tc0106§0007.txt	tc0106§0008.txt
tc0106§0008.txt	tc0106§0009.txt
tc0106§0009.txt	tc0106§0010.txt
tc0106§0010.txt	tc0106§0011.txt
tc0106§0011.txt	tc0106§0012.txt
tc0106§0012.txt	tc0106§0013.txt
tc0106§0013.txt	tc0106§0014.txt
tc0107§0000.txt	tc0107§0001.txt
tc0107§0001.txt	tc0107§0002.txt
tc0107§0002.txt	tc0107§0003.txt
tc0107§0003.txt	tc0107§0004.txt
tc0107§0004.txt	tc0107§0005.txt
tc0107§0005.txt	tc0107§0006.txt
tc0107§0006.txt	tc0107§0007.txt
tc0107§0007.txt	tc0107§0008.txt
tc0107§0008.txt	tc0107§0009.txt
tc0107§0009.txt	tc0107§0010.txt
tc0107§0010.txt	tc0107§0011.txt
tc0107§0011.txt	tc0107§0012.txt
tc0107§0012.txt	tc0107§0013.txt
tc0107§0013.txt	tc0107§0014.txt
tc0107§0014.txt	tc0107§0015.txt
tc0108§0000.txt	tc0108§0001.txt
tc0108§0001.txt	tc0108§0002.txt
tc0108§0002.txt	tc0108§0003.txt
tc0108§0003.txt	tc0108§0004.txt
tc0108§0004.txt	tc0108§0005.txt
tc0108§0005.txt	tc0108§0006.txt
tc0108§0006.txt	tc0108§0007.txt
tc0108§0007.txt	tc0108§0008.txt
tc0108§0008.txt	tc0108§0009.txt
tc0108§0009.txt	tc0108§0010.txt
tc0108§0010.txt	tc0108§0011.txt
tc0108§0011.txt	tc0108§0012.txt
tc0110§0000.txt	tc0110§0001.txt
tc0110§0001.txt	tc0110§0002.txt
tc0110§0002.txt	tc0110§0003.txt
tc0110§0003.txt	tc0110§0004.txt
tc0110§0004.txt	tc0110§0005.txt
tc0110§0005.txt	tc0110§0006.txt
tc0110§0006.txt	tc0110§0007.txt
tc0110§0007.txt	tc0110§0008.txt
tc0110§0008.txt	tc0110§0009.txt
tc0110§0009.txt	tc0110§0010.txt
tc0110§0010.txt	tc0110§0011.txt
tc0110§0011.txt	tc0110§0012.txt
tc0111§0000.txt	tc0111§0001.txt
tc0111§0001.txt	tc0111§0002.txt
tc0111§0002.txt	tc0111§0003.txt
tc0111§0003.txt	tc0111§0004.txt
tc0111§0004.txt	tc0111§0005.txt
tc0111§0005.txt	tc0111§0006.txt
tc0111§0006.txt	tc0111§0007.txt
tc0111§0007.txt	tc0111§0008.txt
tc0111§0008.txt	tc0111§0009.txt
tc0111§0009.txt	tc0111§0010.txt
tc0111§0010.txt	tc0111§0011.txt
tc0111§0011.txt	tc0111§0012.txt
tc0111§0012.txt	tc0111§0013.txt
tc0111§0013.txt	tc0111§0014.txt
tc0111§0014.txt	tc0111§0015.txt
tc0111§0015.txt	tc0111§0016.txt
tc0111§0016.txt	tc0111§0017.txt
tc0111§0017.txt	tc0111§0018.txt
tc0112§0000.txt	tc0112§0001.txt
tc0112§0001.txt	tc0112§0002.txt
tc0112§0002.txt	tc0112§0003.txt
tc0112§0003.txt	tc0112§0004.txt
tc0112§0004.txt	tc0112§0005.txt
tc0112§0005.txt	tc0112§0006.txt
tc0112§0006.txt	tc0112§0007.txt
tc0112§0007.txt	tc0112§0008.txt
tc0112§0008.txt	tc0112§0009.txt
tc0112§0009.txt	tc0112§0010.txt
tc0112§0010.txt	tc0112§0011.txt
tc0112§0011.txt	tc0112§0012.txt
tc0112§0012.txt	tc0112§0013.txt
tc0113§0000.txt	tc0113§0001.txt
tc0113§0001.txt	tc0113§0002.txt
tc0113§0002.txt	tc0113§0003.txt
tc0113§0003.txt	tc0113§0004.txt
tc0113§0004.txt	tc0113§0005.txt
tc0113§0005.txt	tc0113§0006.txt
tc0113§0006.txt	tc0113§0007.txt
tc0113§0007.txt	tc0113§0008.txt
tc0113§0008.txt	tc0113§0009.txt
tc0113§0009.txt	tc0113§0010.txt
tc0113§0010.txt	tc0113§0011.txt
tc0113§0011.txt	tc0113§0012.txt
tc0113§0012.txt	tc0113§0013.txt
tc0114§0000.txt	tc0114§0001.txt
tc0114§0001.txt	tc0114§0002.txt
tc0114§0002.txt	tc0114§0003.txt
tc0114§0003.txt	tc0114§0004.txt
tc0114§0004.txt	tc0114§0005.txt
tc0114§0005.txt	tc0114§0006.txt
tc0114§0006.txt	tc0114§0007.txt
tc0114§0007.txt	tc0114§0008.txt
tc0114§0008.txt	tc0114§0009.txt
tc0114§0009.txt	tc0114§0010.txt
tc0114§0010.txt	tc0114§0011.txt
tc0114§0011.txt	tc0114§0012.txt
tc0114§0012.txt	tc0114§0013.txt
tc0114§0013.txt	tc0114§0014.txt
tc0116§0000.txt	tc0116§0001.txt
tc0116§0001.txt	tc0116§0002.txt
tc0116§0002.txt	tc0116§0003.txt
tc0116§0003.txt	tc0116§0004.txt
tc0116§0004.txt	tc0116§0005.txt
tc0116§0005.txt	tc0116§0006.txt
tc0116§0006.txt	tc0116§0007.txt
tc0116§0007.txt	tc0116§0008.txt
tc0116§0008.txt	tc0116§0009.txt
tc0116§0009.txt	tc0116§0010.txt
tc0116§0010.txt	tc0116§0011.txt
tc0116§0011.txt	tc0116§0012.txt
tc0116§0012.txt	tc0116§0013.txt
tc0116§0013.txt	tc0116§0014.txt
tc0117§0000.txt	tc0117§0001.txt
tc0117§0001.txt	tc0117§0002.txt
tc0117§0002.txt	tc0117§0003.txt
tc0117§0003.txt	tc0117§0004.txt
tc0117§0004.txt	tc0117§0005.txt
tc0117§0005.txt	tc0117§0006.txt
tc0117§0006.txt	tc0117§0007.txt
tc0118§0000.txt	tc0118§0001.txt
tc0118§0001.txt	tc0118§0002.txt
tc0118§0002.txt	tc0118§0003.txt
tc0118§0003.txt	tc0118§0004.txt
tc0118§0004.txt	tc0118§0005.txt
tc0118§0005.txt	tc0118§0006.txt
tc0118§0006.txt	tc0118§0007.txt
tc0118§0007.txt	tc0118§0008.txt
tc0118§0008.txt	tc0118§0009.txt
tc0118§0009.txt	tc0118§0010.txt
tc0118§0010.txt	tc0118§0011.txt
tc0118§0011.txt	tc0118§0012.txt
tc0118§0012.txt	tc0118§0013.txt
tc0118§0013.txt	tc0118§0014.txt
tc0119§0000.txt	tc0119§0001.txt
tc0119§0001.txt	tc0119§0002.txt
tc0119§0002.txt	tc0119§0003.txt
tc0119§0003.txt	tc0119§0004.txt
tc0119§0004.txt	tc0119§0005.txt
tc0119§0005.txt	tc0119§0006.txt
tc0119§0006.txt	tc0119§0007.txt
tc0122§0000.txt	tc0122§0001.txt
tc0122§0001.txt	tc0122§0002.txt
tc0122§0002.txt	tc0122§0003.txt
tc0122§0003.txt	tc0122§0004.txt
tc0122§0004.txt	tc0122§0005.txt
tc0122§0005.txt	tc0122§0006.txt
tc0122§0006.txt	tc0122§0007.txt
tc0122§0007.txt	tc0122§0008.txt
tc0122§0008.txt	tc0122§0009.txt
tc0122§0009.txt	tc0122§0010.txt
tc0122§0010.txt	tc0122§0011.txt
tc0122§0011.txt	tc0122§0012.txt
tc0123§0000.txt	tc0123§0001.txt
tc0123§0001.txt	tc0123§0002.txt
tc0123§0002.txt	tc0123§0003.txt
tc0123§0003.txt	tc0123§0004.txt
tc0123§0004.txt	tc0123§0005.txt
tc0123§0005.txt	tc0123§0006.txt
tc0123§0006.txt	tc0123§0007.txt
tc0123§0007.txt	tc0123§0008.txt
tc0123§0008.txt	tc0123§0009.txt
tc0123§0009.txt	tc0123§0010.txt
tc0123§0010.txt	tc0123§0011.txt
tc0123§0011.txt	tc0123§0012.txt
tc0124§0000.txt	tc0124§0001.txt
tc0124§0001.txt	tc0124§0002.txt
tc0124§0002.txt	tc0124§0003.txt
tc0124§0003.txt	tc0124§0004.txt
tc0124§0004.txt	tc0124§0005.txt
tc0124§0005.txt	tc0124§0006.txt
tc0124§0006.txt	tc0124§0007.txt
tc0124§0007.txt	tc0124§0008.txt
tc0124§0008.txt	tc0124§0009.txt
tc0124§0009.txt	tc0124§0010.txt
tc0124§0010.txt	tc0124§0011.txt
tc0124§0011.txt	tc0124§0012.txt
tc0125§0000.txt	tc0125§0001.txt
tc0125§0001.txt	tc0125§0002.txt
tc0125§0002.txt	tc0125§0003.txt
tc0125§0003.txt	tc0125§0004.txt
tc0125§0004.txt	tc0125§0005.txt
tc0125§0005.txt	tc0125§0006.txt
tc0125§0006.txt	tc0125§0007.txt
tc0125§0007.txt	tc0125§0008.txt
tc0125§0008.txt	tc0125§0009.txt
tc0125§0009.txt	tc0125§0010.txt
tc0125§0010.txt	tc0125§0011.txt
tc0125§0011.txt	tc0125§0012.txt
tc0125§0012.txt	tc0125§0013.txt
tc0126§0000.txt	tc0126§0001.txt
tc0126§0001.txt	tc0126§0002.txt
tc0126§0002.txt	tc0126§0003.txt
tc0126§0003.txt	tc0126§0004.txt
tc0126§0004.txt	tc0126§0005.txt
tc0126§0005.txt	tc0126§0006.txt
tc0126§0006.txt	tc0126§0007.txt
tc0126§0007.txt	tc0126§0008.txt
tc0126§0008.txt	tc0126§0009.txt
tc0126§0009.txt	tc0126§0010.txt
tc0127§0000.txt	tc0127§0001.txt
tc0127§0001.txt	tc0127§0002.txt
tc0127§0002.txt	tc0127§0003.txt
tc0127§0003.txt	tc0127§0004.txt
tc0127§0004.txt	tc0127§0005.txt
tc0127§0005.txt	tc0127§0006.txt
tc0127§0006.txt	tc0127§0007.txt
tc0127§0007.txt	tc0127§0008.txt
tc0127§0008.txt	tc0127§0009.txt
tc0127§0009.txt	tc0127§0010.txt
tc0127§0010.txt	tc0127§0011.txt
tc0127§0011.txt	tc0127§0012.txt
tc0127§0012.txt	tc0127§0013.txt
tc0157§0000.txt	tc0157§0001.txt
tc0157§0001.txt	tc0157§0002.txt
tc0157§0002.txt	tc0157§0003.txt
tc0157§0003.txt	tc0157§0004.txt
tc0157§0004.txt	tc0157§0005.txt
tc0157§0005.txt	tc0157§0006.txt
tc0157§0006.txt	tc0157§0007.txt
tc0157§0007.txt	tc0157§0008.txt
tc0157§0008.txt	tc0157§0009.txt
tc0157§0009.txt	tc0157§0010.txt
tc0157§0010.txt	tc0157§0011.txt
tc0157§0011.txt	tc0157§0012.txt
tc0158§0000.txt	tc0158§0001.txt
tc0158§0001.txt	tc0158§0002.txt
tc0158§0002.txt	tc0158§0003.txt
tc0158§0003.txt	tc0158§0004.txt
tc0158§0004.txt	tc0158§0005.txt
tc0158§0005.txt	tc0158§0006.txt
tc0158§0006.txt	tc0158§0007.txt
tc0158§0007.txt	tc0158§0008.txt
tc0158§0008.txt	tc0158§0009.txt
tc0158§0009.txt	tc0158§0010.txt
tc0158§0010.txt	tc0158§0011.txt
tc0158§0011.txt	tc0158§0012.txt
tc0158§0012.txt	tc0158§0013.txt
